id,Indice,Indice_d,Categoria,Categoria_d,Grupo,Grupo_d,Elemento,Descricao,variavel,Categoria_key,Grupo_key
3.3.5.3,3,V-Dem Indicators,3,Direct Democracy,5,Occurrences,3,Occurrence of obligatory referendum this year,v2ddyror,3.3,3.3.5
3.3.5.4,3,V-Dem Indicators,3,Direct Democracy,5,Occurrences,4,Occurrence of plebiscite this year,v2ddyrpl,3.3,3.3.5
3.3.5.5,3,V-Dem Indicators,3,Direct Democracy,5,Occurrences,5,Number of popular votes this year,v2ddyrall,3.3,3.3.5
3.3.5.6,3,V-Dem Indicators,3,Direct Democracy,5,Occurrences,6,Occurrence of any type of popular vote this year credible,v2ddcredal,3.3,3.3.5
3.4,3,V-Dem Indicators,4,The Executive,,,,The Executive,,3.4,
3.4.1,3,V-Dem Indicators,4,The Executive,1,General,,General,,3.4,3.4.1
3.4.1.1,3,V-Dem Indicators,4,The Executive,1,General,1,Executive respects constitution,v2exrescon,3.4,3.4.1
3.4.1.2,3,V-Dem Indicators,4,The Executive,1,General,2,Executive bribery and corrupt exchanges,v2exbribe,3.4,3.4.1
3.4.1.3,3,V-Dem Indicators,4,The Executive,1,General,3,Executive embezzlement and theft,v2exembez,3.4,3.4.1
3.4.1.4,3,V-Dem Indicators,4,The Executive,1,General,4,Public sector corrupt exchanges,v2excrptps,3.4,3.4.1
3.4.1.5,3,V-Dem Indicators,4,The Executive,1,General,5,Public sector theft,v2exthftps,3.4,3.4.1
3.4.1.6,3,V-Dem Indicators,4,The Executive,1,General,6,Chief executive appointment by upper chamber,v2exapup,3.4,3.4.1
3.4.1.7,3,V-Dem Indicators,4,The Executive,1,General,7,Chief executive appointment by upper chamber implicit approval,v2exapupap,3.4,3.4.1
3.4.2,3,V-Dem Indicators,4,The Executive,,,2,Head of State,HOS,3.4,3.4.2
3.4.2.1,3,V-Dem Indicators,4,The Executive,2,,1,HOS name,v2exnamhos,3.4,3.4.2
3.4.2.2,3,V-Dem Indicators,4,The Executive,2,,2,HOS title,v2extithos,3.4,3.4.2
3.4.2.3,3,V-Dem Indicators,4,The Executive,2,,3,HOS removal by legislature in practice,v2exremhsp,3.4,3.4.2
3.4.2.4,3,V-Dem Indicators,4,The Executive,2,,4,HOS removal by other in practice,v2exrmhsol,3.4,3.4.2
3.4.2.5,3,V-Dem Indicators,4,The Executive,2,,5,HOS other body remove HOS in practice,v2exrmhsnl,3.4,3.4.2
3.4.2.6,3,V-Dem Indicators,4,The Executive,2,,6,HOS control over,v2exctlhs,3.4,3.4.2
3.4.2.7,3,V-Dem Indicators,4,The Executive,2,,7,HOS other body controls,v2exctlhos,3.4,3.4.2
3.4.2.8,3,V-Dem Indicators,4,The Executive,2,,8,HOS dissolution in practice,v2exdfdshs,3.4,3.4.2
3.4.2.9,3,V-Dem Indicators,4,The Executive,2,,9,HOS appoints cabinet in practice,v2exdfcbhs,3.4,3.4.2
3.4.2.10,3,V-Dem Indicators,4,The Executive,2,,10,HOS appoints cabinet in practice,v2exdfcbhs_rec,3.4,3.4.2
3.4.2.11,3,V-Dem Indicators,4,The Executive,2,,11,HOS veto power in practice,v2exdfvths,3.4,3.4.2
3.4.2.12,3,V-Dem Indicators,4,The Executive,2,,12,HOS dismisses ministers in practice,v2exdfdmhs,3.4,3.4.2
3.4.2.13,3,V-Dem Indicators,4,The Executive,2,,13,HOS proposes legislation in practice,v2exdfpphs,3.4,3.4.2
3.4.2.14,3,V-Dem Indicators,4,The Executive,2,,14,HOS = HOG,v2exhoshog,3.4,3.4.2
3.4.2.15,3,V-Dem Indicators,4,The Executive,2,,15,HOS age,v2exagehos,3.4,3.4.2
3.4.2.16,3,V-Dem Indicators,4,The Executive,2,,16,HOS selection by legislature in practice,v2exaphos,3.4,3.4.2
3.4.2.17,3,V-Dem Indicators,4,The Executive,2,,17,HOS directly elected,v2ex_elechos,3.4,3.4.2
3.4.2.18,3,V-Dem Indicators,4,The Executive,2,,18,HOS female,v2exfemhos,3.4,3.4.2
3.4.2.19,3,V-Dem Indicators,4,The Executive,2,,19,HOS term length by law,v2exfxtmhs,3.4,3.4.2
3.4.2.20,3,V-Dem Indicators,4,The Executive,2,,20,HOS appointment in practice,v2expathhs,3.4,3.4.2
3.4.2.21,3,V-Dem Indicators,4,The Executive,2,,21,HOS year of death,v2exdeathos,3.4,3.4.2
3.4.2.22,3,V-Dem Indicators,4,The Executive,2,,22,HOS party affiliation,v2exparhos,3.4,3.4.2
3.4.3,3,V-Dem Indicators,4,The Executive,,,3,Head of Government,HOG,3.4,3.4.3
3.4.3.1,3,V-Dem Indicators,4,The Executive,3,,1,HOG name,v2exnamhog,3.4,3.4.3
3.4.3.2,3,V-Dem Indicators,4,The Executive,3,,2,HOG title,v2extithog,3.4,3.4.3
3.4.3.3,3,V-Dem Indicators,4,The Executive,3,,3,HOG removal by legislature in practice,v2exremhog,3.4,3.4.3
3.4.3.4,3,V-Dem Indicators,4,The Executive,3,,4,HOG removal by other in practice,v2exrmhgnp,3.4,3.4.3
3.4.3.5,3,V-Dem Indicators,4,The Executive,3,,5,HOG other body remove HOG in practice,v2exrmhgop,3.4,3.4.3
3.4.3.6,3,V-Dem Indicators,4,The Executive,3,,6,HOG control over,v2exctlhg,3.4,3.4.3
3.4.3.7,3,V-Dem Indicators,4,The Executive,3,,7,HOG other body controls,v2exctlhog,3.4,3.4.3
3.4.3.8,3,V-Dem Indicators,4,The Executive,3,,8,HOG dissolution in practice,v2exdjdshg,3.4,3.4.3
3.4.3.9,3,V-Dem Indicators,4,The Executive,3,,9,HOG appoints cabinet in practice,v2exdjcbhg,3.4,3.4.3
3.4.3.10,3,V-Dem Indicators,4,The Executive,3,,10,HOG dismisses ministers in practice,v2exdfdshg,3.4,3.4.3
3.4.3.11,3,V-Dem Indicators,4,The Executive,3,,11,HOG veto power in practice,v2exdfvthg,3.4,3.4.3
3.4.3.12,3,V-Dem Indicators,4,The Executive,3,,12,HOG proposes legislation in practice,v2exdfpphg,3.4,3.4.3
3.4.3.13,3,V-Dem Indicators,4,The Executive,3,,13,HOG age,v2exagehog,3.4,3.4.3
3.4.3.14,3,V-Dem Indicators,4,The Executive,3,,14,HOG selection by legislature in practice,v2exaphogp,3.4,3.4.3
3.4.3.15,3,V-Dem Indicators,4,The Executive,3,,15,HOG directly elected,v2ex_elechog,3.4,3.4.3
3.4.3.16,3,V-Dem Indicators,4,The Executive,3,,16,HOG female,v2exfemhog,3.4,3.4.3
3.4.3.17,3,V-Dem Indicators,4,The Executive,3,,17,HOG term length by law,v2exfxtmhg,3.4,3.4.3
3.4.3.18,3,V-Dem Indicators,4,The Executive,3,,18,Relative power of the HOG,v2ex_hogw,3.4,3.4.3
3.4.3.19,3,V-Dem Indicators,4,The Executive,3,,19,HOG appointed by HOS,v2ex_hosconhog,3.4,3.4.3
3.4.3.20,3,V-Dem Indicators,4,The Executive,3,,20,HOG appointment in practice,v2expathhg,3.4,3.4.3
3.4.3.21,3,V-Dem Indicators,4,The Executive,3,,21,HOG year of death,v2exdeathog,3.4,3.4.3
3.4.3.22,3,V-Dem Indicators,4,The Executive,3,,22,HOG party affiliation,v2expothog,3.4,3.4.3
3.4.4,3,V-Dem Indicators,4,The Executive,4,Regime,,Regime,,3.4,3.4.4
3.4.4.1,3,V-Dem Indicators,4,The Executive,4,Regime,1,Regime information,v2reginfo,3.4,3.4.4
3.4.4.2,3,V-Dem Indicators,4,The Executive,4,Regime,2,Regime end type,v2regendtype,3.4,3.4.4
3.4.4.3,3,V-Dem Indicators,4,The Executive,4,Regime,3,"Regime end type, multiple selection version",v2regendtypems,3.4,3.4.4
3.4.4.4,3,V-Dem Indicators,4,The Executive,4,Regime,4,Regime interregnum,v2regint,3.4,3.4.4
3.4.4.5,3,V-Dem Indicators,4,The Executive,4,Regime,5,Regime ID,v2regidnr,3.4,3.4.4
3.4.4.6,3,V-Dem Indicators,4,The Executive,4,Regime,6,Regime duration,v2regdur,3.4,3.4.4
3.4.4.7,3,V-Dem Indicators,4,The Executive,4,Regime,7,Regime support groups,v2regsupgroups,3.4,3.4.4
3.4.4.8,3,V-Dem Indicators,4,The Executive,4,Regime,8,Regime most important support group,v2regimpgroup,3.4,3.4.4
3.4.4.9,3,V-Dem Indicators,4,The Executive,4,Regime,9,Regime support groups size,v2regsupgroupssize,3.4,3.4.4
3.4.4.10,3,V-Dem Indicators,4,The Executive,4,Regime,10,Regime support location,v2regsuploc,3.4,3.4.4
3.4.4.11,3,V-Dem Indicators,4,The Executive,4,Regime,11,Regime opposition groups,v2regoppgroups,3.4,3.4.4
3.4.4.12,3,V-Dem Indicators,4,The Executive,4,Regime,12,Explicit and active regime opposition groups,v2regoppgroupsact,3.4,3.4.4
3.4.4.13,3,V-Dem Indicators,4,The Executive,4,Regime,13,Regime most important opposition group,v2regimpoppgroup,3.4,3.4.4
3.4.4.14,3,V-Dem Indicators,4,The Executive,4,Regime,14,Regime opposition groups size,v2regoppgroupssize,3.4,3.4.4
3.4.4.15,3,V-Dem Indicators,4,The Executive,4,Regime,15,Regime opposition location,v2regopploc,3.4,3.4.4
3.4.4.16,3,V-Dem Indicators,4,The Executive,4,Regime,16,Strongest pro-regime preferences,v2regproreg,3.4,3.4.4
3.4.4.17,3,V-Dem Indicators,4,The Executive,4,Regime,17,Strongest anti-regime preferences,v2regantireg,3.4,3.4.4
3.4.4.18,3,V-Dem Indicators,4,The Executive,4,Regime,18,Most powerful group in affecting regime duration and change,v2regpower,3.4,3.4.4
3.5,3,V-Dem Indicators,5,The Legislature,,,,The Legislature,,3.5,
3.5.1,3,V-Dem Indicators,5,The Legislature,1,General,,General,,3.5,3.5.1
3.5.1.1,3,V-Dem Indicators,5,The Legislature,1,General,1,Legislature bicameral,v2lgbicam,3.5,3.5.1
3.5.1.2,3,V-Dem Indicators,5,The Legislature,1,General,2,Legislature dominant chamber,v2lgdomchm,3.5,3.5.1
3.5.1.3,3,V-Dem Indicators,5,The Legislature,1,General,3,Legislature questions officials in practice,v2lgqstexp,3.5,3.5.1
3.5.1.4,3,V-Dem Indicators,5,The Legislature,1,General,4,Legislature investigates in practice,v2lginvstp,3.5,3.5.1
3.5.1.5,3,V-Dem Indicators,5,The Legislature,1,General,5,Executive oversight,v2lgotovst,3.5,3.5.1
3.5.1.6,3,V-Dem Indicators,5,The Legislature,1,General,6,Legislature corrupt activities,v2lgcrrpt,3.5,3.5.1
3.5.1.7,3,V-Dem Indicators,5,The Legislature,1,General,7,Legislature opposition parties,v2lgoppart,3.5,3.5.1
3.5.1.8,3,V-Dem Indicators,5,The Legislature,1,General,8,Legislature controls resources,v2lgfunds,3.5,3.5.1
3.5.1.9,3,V-Dem Indicators,5,The Legislature,1,General,9,Representation of disadvantaged social groups,v2lgdsadlo,3.5,3.5.1
3.5.1.10,3,V-Dem Indicators,5,The Legislature,1,General,10,Representation of disadvantaged social groups binary,v2lgdsadlobin,3.5,3.5.1
3.5.1.11,3,V-Dem Indicators,5,The Legislature,1,General,11,Relative power of the HOS,v2ex_hosw,3.5,3.5.1
3.5.1.12,3,V-Dem Indicators,5,The Legislature,1,General,12,HOG appointed by legislature,v2ex_legconhog,3.5,3.5.1
3.5.1.13,3,V-Dem Indicators,5,The Legislature,1,General,13,HOS appointed by legislature,v2ex_legconhos,3.5,3.5.1
3.5.1.14,3,V-Dem Indicators,5,The Legislature,1,General,14,Legislature approval of treaties by law,v2lgtreaty,3.5,3.5.1
3.5.1.15,3,V-Dem Indicators,5,The Legislature,1,General,15,Legislature declares war by law,v2lgwarlaw,3.5,3.5.1
3.5.2,3,V-Dem Indicators,5,The Legislature,2,Upper Chamber,,Upper Chamber,,3.5,3.5.2
3.5.2.1,3,V-Dem Indicators,5,The Legislature,2,Upper Chamber,1,Upper chamber name,v2lgnameup,3.5,3.5.2
3.5.2.2,3,V-Dem Indicators,5,The Legislature,2,Upper Chamber,2,Upper chamber legislates in practice,v2lglegpup,3.5,3.5.2
3.5.2.3,3,V-Dem Indicators,5,The Legislature,2,Upper Chamber,3,Upper chamber elected,v2lgelecup,3.5,3.5.2
3.5.2.4,3,V-Dem Indicators,5,The Legislature,2,Upper Chamber,4,Percentage of indirectly elected legislators upper chamber,v2lginelup,3.5,3.5.2
3.5.2.5,3,V-Dem Indicators,5,The Legislature,2,Upper Chamber,5,Upper chamber introduces bills,v2lgintbup,3.5,3.5.2
3.5.3,3,V-Dem Indicators,5,The Legislature,3,Unicameral or Lower Chamber,,Unicameral or Lower Chamber,,3.5,3.5.3
3.5.3.1,3,V-Dem Indicators,5,The Legislature,3,Unicameral or Lower Chamber,1,Lower chamber legislature name,v2lgnamelo,3.5,3.5.3
3.5.3.2,3,V-Dem Indicators,5,The Legislature,3,Unicameral or Lower Chamber,2,Lower chamber legislates in practice,v2lglegplo,3.5,3.5.3
3.5.3.3,3,V-Dem Indicators,5,The Legislature,3,Unicameral or Lower Chamber,3,Lower chamber committees,v2lgcomslo,3.5,3.5.3
3.5.3.4,3,V-Dem Indicators,5,The Legislature,3,Unicameral or Lower Chamber,4,Lower chamber members serve in government,v2lgsrvlo,3.5,3.5.3
3.5.3.5,3,V-Dem Indicators,5,The Legislature,3,Unicameral or Lower Chamber,5,Lower chamber staff,v2lgstafflo,3.5,3.5.3
3.5.3.6,3,V-Dem Indicators,5,The Legislature,3,Unicameral or Lower Chamber,6,Lower chamber elected,v2lgello,3.5,3.5.3
3.5.3.7,3,V-Dem Indicators,5,The Legislature,3,Unicameral or Lower Chamber,7,Lower chamber female legislators,v2lgfemleg,3.5,3.5.3
3.5.3.8,3,V-Dem Indicators,5,The Legislature,3,Unicameral or Lower Chamber,8,Percentage of indirectly elected legislators lower chamber,v2lginello,3.5,3.5.3
3.5.3.9,3,V-Dem Indicators,5,The Legislature,3,Unicameral or Lower Chamber,9,Lower chamber introduces bills,v2lgintblo,3.5,3.5.3
3.5.3.10,3,V-Dem Indicators,5,The Legislature,3,Unicameral or Lower Chamber,10,Lower chamber gender quota,v2lgqugen,3.5,3.5.3
3.5.3.11,3,V-Dem Indicators,5,The Legislature,3,Unicameral or Lower Chamber,11,Lower chamber gender quota placement mandate,v2lgqugens,3.5,3.5.3
3.5.3.12,3,V-Dem Indicators,5,The Legislature,3,Unicameral or Lower Chamber,12,Lower chamber gender quota threshold,v2lgqugent,3.5,3.5.3
3.6,3,V-Dem Indicators,6,Deliberation,,,,Deliberation,,3.6,
3.6.0.1,3,V-Dem Indicators,6,Deliberation,0,,1,Reasoned justification,v2dlreason,3.6,3.6.0
3.6.0.2,3,V-Dem Indicators,6,Deliberation,0,,2,Common good,v2dlcommon,3.6,3.6.0
3.6.0.3,3,V-Dem Indicators,6,Deliberation,0,,3,Respect counterarguments,v2dlcountr,3.6,3.6.0
3.6.0.4,3,V-Dem Indicators,6,Deliberation,0,,4,Range of consultation,v2dlconslt,3.6,3.6.0
3.6.0.5,3,V-Dem Indicators,6,Deliberation,0,,5,Engaged society,v2dlengage,3.6,3.6.0
3.6.0.6,3,V-Dem Indicators,6,Deliberation,0,,6,Particularistic or public goods,v2dlencmps,3.6,3.6.0
3.6.0.7,3,V-Dem Indicators,6,Deliberation,0,,7,Means-tested v. universalistic policy,v2dlunivl,3.6,3.6.0
3.7,3,V-Dem Indicators,7,The Judiciary,,,,The Judiciary,,3.7,
3.7.0.1,3,V-Dem Indicators,7,The Judiciary,0,,1,Judicial reform,v2jureform,3.7,3.7.0
3.7.0.2,3,V-Dem Indicators,7,The Judiciary,0,,2,Judicial purges,v2jupurge,3.7,3.7.0
3.7.0.3,3,V-Dem Indicators,7,The Judiciary,0,,3,Government attacks on judiciary,v2jupoatck,3.7,3.7.0
3.7.0.4,3,V-Dem Indicators,7,The Judiciary,0,,4,Court packing,v2jupack,3.7,3.7.0
3.7.0.5,3,V-Dem Indicators,7,The Judiciary,0,,5,Judicial accountability,v2juaccnt,3.7,3.7.0
3.7.0.6,3,V-Dem Indicators,7,The Judiciary,0,,6,Judicial corruption decision,v2jucorrdc,3.7,3.7.0
3.7.0.7,3,V-Dem Indicators,7,The Judiciary,0,,7,High court name,v2juhcname,3.7,3.7.0
3.7.0.8,3,V-Dem Indicators,7,The Judiciary,0,,8,High court independence,v2juhcind,3.7,3.7.0
3.7.0.9,3,V-Dem Indicators,7,The Judiciary,0,,9,Lower court independence,v2juncind,3.7,3.7.0
3.7.0.10,3,V-Dem Indicators,7,The Judiciary,0,,10,Compliance with high court,v2juhccomp,3.7,3.7.0
3.7.0.11,3,V-Dem Indicators,7,The Judiciary,0,,11,Compliance with judiciary,v2jucomp,3.7,3.7.0
3.7.0.12,3,V-Dem Indicators,7,The Judiciary,0,,12,Judicial review,v2jureview,3.7,3.7.0
3.7.0.13,3,V-Dem Indicators,7,The Judiciary,0,,13,Codeable,v2jucodable,3.7,3.7.0
3.7.0.14,3,V-Dem Indicators,7,The Judiciary,0,,14,Corresponding flowchart,v2juflow,3.7,3.7.0
3.7.0.15,3,V-Dem Indicators,7,The Judiciary,0,,15,Language,v2julanguage,3.7,3.7.0
3.7.0.16,3,V-Dem Indicators,7,The Judiciary,0,,16,Team translated,v2juteamtr,3.7,3.7.0
3.8,3,V-Dem Indicators,8,Civil Liberty,,,,Civil Liberty,,3.8,
3.8.1,3,V-Dem Indicators,8,Civil Liberty,1,Personal Integrity Rights,,Personal Integrity Rights,,3.8,3.8.1
3.8.1.1,3,V-Dem Indicators,8,Civil Liberty,1,Personal Integrity Rights,1,Freedom from torture,v2cltort,3.8,3.8.1
3.8.1.2,3,V-Dem Indicators,8,Civil Liberty,1,Personal Integrity Rights,2,Freedom from political killings,v2clkill,3.8,3.8.1
3.8.1.3,3,V-Dem Indicators,8,Civil Liberty,1,Personal Integrity Rights,3,Freedom from forced labor for men,v2clslavem,3.8,3.8.1
3.8.1.4,3,V-Dem Indicators,8,Civil Liberty,1,Personal Integrity Rights,4,Freedom from forced labor for women,v2clslavef,3.8,3.8.1
3.8.2,3,V-Dem Indicators,8,Civil Liberty,2,Impartial Enforcement,,Impartial Enforcement,,3.8,3.8.2
3.8.2.1,3,V-Dem Indicators,8,Civil Liberty,2,Impartial Enforcement,1,Transparent laws with predictable enforcement,v2cltrnslw,3.8,3.8.2
3.8.2.2,3,V-Dem Indicators,8,Civil Liberty,2,Impartial Enforcement,2,Rigorous and impartial public administration,v2clrspct,3.8,3.8.2
3.8.2.3,3,V-Dem Indicators,8,Civil Liberty,2,Impartial Enforcement,3,Access to justice for men,v2clacjstm,3.8,3.8.2
3.8.2.4,3,V-Dem Indicators,8,Civil Liberty,2,Impartial Enforcement,4,Access to justice for women,v2clacjstw,3.8,3.8.2
3.8.2.5,3,V-Dem Indicators,8,Civil Liberty,2,Impartial Enforcement,5,Social class equality in respect for civil liberty,v2clacjust,3.8,3.8.2
3.8.2.6,3,V-Dem Indicators,8,Civil Liberty,2,Impartial Enforcement,6,Social group equality in respect for civil liberties,v2clsocgrp,3.8,3.8.2
3.8.2.7,3,V-Dem Indicators,8,Civil Liberty,2,Impartial Enforcement,7,Subnational civil liberties unevenness,v2clrgunev,3.8,3.8.2
3.8.2.8,3,V-Dem Indicators,8,Civil Liberty,2,Impartial Enforcement,8,Stronger civil liberties characteristics,v2clrgstch,3.8,3.8.2
3.8.2.9,3,V-Dem Indicators,8,Civil Liberty,2,Impartial Enforcement,9,Weaker civil liberties population,v2clsnlpct,3.8,3.8.2
3.8.2.10,3,V-Dem Indicators,8,Civil Liberty,2,Impartial Enforcement,10,Weaker civil liberties characteristics,v2clrgwkch,3.8,3.8.2
3.8.3,3,V-Dem Indicators,8,Civil Liberty,3,Private and Political Liberties,,Private and Political Liberties,,3.8,3.8.3
3.8.3.1,3,V-Dem Indicators,8,Civil Liberty,3,Private and Political Liberties,1,Freedom of discussion for men,v2cldiscm,3.8,3.8.3
3.8.3.2,3,V-Dem Indicators,8,Civil Liberty,3,Private and Political Liberties,2,Freedom of discussion for women,v2cldiscw,3.8,3.8.3
3.8.3.3,3,V-Dem Indicators,8,Civil Liberty,3,Private and Political Liberties,3,Freedom of academic and cultural expression,v2clacfree,3.8,3.8.3
3.8.3.4,3,V-Dem Indicators,8,Civil Liberty,3,Private and Political Liberties,4,Freedom of religion,v2clrelig,3.8,3.8.3
3.8.3.5,3,V-Dem Indicators,8,Civil Liberty,3,Private and Political Liberties,5,Freedom of foreign movement,v2clfmove,3.8,3.8.3
3.8.3.6,3,V-Dem Indicators,8,Civil Liberty,3,Private and Political Liberties,6,Freedom of domestic movement for men,v2cldmovem,3.8,3.8.3
3.8.3.7,3,V-Dem Indicators,8,Civil Liberty,3,Private and Political Liberties,7,Freedom of domestic movement for women,v2cldmovew,3.8,3.8.3
3.8.4,3,V-Dem Indicators,8,Civil Liberty,4,Property Rights,,Property Rights,,3.8,3.8.4
3.8.4.1,3,V-Dem Indicators,8,Civil Liberty,4,Property Rights,1,State ownership of economy,v2clstown,3.8,3.8.4
3.8.4.2,3,V-Dem Indicators,8,Civil Liberty,4,Property Rights,2,Property rights for men,v2clprptym,3.8,3.8.4
3.8.4.3,3,V-Dem Indicators,8,Civil Liberty,4,Property Rights,3,Property rights for women,v2clprptyw,3.8,3.8.4
3.9,3,V-Dem Indicators,9,Sovereignty/State,,,,Sovereignty/State,,3.9,
3.9.0.1,3,V-Dem Indicators,9,Sovereignty/State,0,,1,Domestic autonomy,v2svdomaut,3.9,3.9.0
3.9.0.2,3,V-Dem Indicators,9,Sovereignty/State,0,,2,International autonomy,v2svinlaut,3.9,3.9.0
3.9.0.3,3,V-Dem Indicators,9,Sovereignty/State,0,,3,State authority over territory,v2svstterr,3.9,3.9.0
3.9.0.4,3,V-Dem Indicators,9,Sovereignty/State,0,,4,State fiscal source of revenue,v2stfisccap,3.9,3.9.0
3.9.0.5,3,V-Dem Indicators,9,Sovereignty/State,0,,5,Bureaucratic remuneration,v2strenadm,3.9,3.9.0
3.9.0.6,3,V-Dem Indicators,9,Sovereignty/State,0,,6,Criteria for appointment decisions in the state administration,v2stcritrecadm,3.9,3.9.0
3.9.0.7,3,V-Dem Indicators,9,Sovereignty/State,0,,7,Criteria for appointment decisions in the armed forces,v2stcritapparm,3.9,3.9.0
3.9.0.8,3,V-Dem Indicators,9,Sovereignty/State,0,,8,Remuneration in the Armed Forces,v2strenarm,3.9,3.9.0
3.9.0.9,3,V-Dem Indicators,9,Sovereignty/State,0,,9,Independent states,v2svindep,3.9,3.9.0
3.10,3,V-Dem Indicators,10,Civil Society,,,,Civil Society,,3.10,
3.10.0.1,3,V-Dem Indicators,10,Civil Society,0,,1,CSO entry and exit,v2cseeorgs,3.10,3.10.
3.10.0.2,3,V-Dem Indicators,10,Civil Society,0,,2,CSO repression,v2csreprss,3.10,3.10.
3.10.0.3,3,V-Dem Indicators,10,Civil Society,0,,3,CSO consultation,v2cscnsult,3.10,3.10.
3.10.0.4,3,V-Dem Indicators,10,Civil Society,0,,4,CSO structure,v2csstruc,3.10,3.10.
3.10.0.5,3,V-Dem Indicators,10,Civil Society,0,,5,CSO participatory environment,v2csprtcpt,3.10,3.10.
3.10.0.6,3,V-Dem Indicators,10,Civil Society,0,,6,CSO women’s participation,v2csgender,3.10,3.10.
3.10.0.7,3,V-Dem Indicators,10,Civil Society,0,,7,CSO anti-system movements,v2csantimv,3.10,3.10.
3.10.0.8,3,V-Dem Indicators,10,Civil Society,0,,8,CSO anti-system movement character,v2csanmvch,3.10,3.10.
3.10.0.9,3,V-Dem Indicators,10,Civil Society,0,,9,Religious organization repression,v2csrlgrep,3.10,3.10.
3.10.0.10,3,V-Dem Indicators,10,Civil Society,0,,10,Religious organization consultation,v2csrlgcon,3.10,3.10.
3.11,3,V-Dem Indicators,11,The Media,,,,The Media,,3.11,
3.11.0.1,3,V-Dem Indicators,11,The Media,0,,1,Government censorship effort — Media,v2mecenefm,3.11,3.11.
3.11.0.2,3,V-Dem Indicators,11,The Media,0,,2,Internet censorship effort,v2mecenefi,3.11,3.11.
3.11.0.3,3,V-Dem Indicators,11,The Media,0,,3,Internet binary,v2mecenefibin,3.11,3.11.
3.11.0.4,3,V-Dem Indicators,11,The Media,0,,4,Print/broadcast media critical,v2mecrit,3.11,3.11.
3.11.0.5,3,V-Dem Indicators,11,The Media,0,,5,Print/broadcast media perspectives,v2merange,3.11,3.11.
3.11.0.6,3,V-Dem Indicators,11,The Media,0,,6,Female journalists,v2mefemjrn,3.11,3.11.
3.11.0.7,3,V-Dem Indicators,11,The Media,0,,7,Harassment of journalists,v2meharjrn,3.11,3.11.
3.11.0.8,3,V-Dem Indicators,11,The Media,0,,8,Media self-censorship,v2meslfcen,3.11,3.11.
3.11.0.9,3,V-Dem Indicators,11,The Media,0,,9,Media bias,v2mebias,3.11,3.11.
3.11.0.10,3,V-Dem Indicators,11,The Media,0,,10,Media corrupt,v2mecorrpt,3.11,3.11.
3.12,3,V-Dem Indicators,12,Political Equality,,,,Political Equality,,3.12,
3.12.0.1,3,V-Dem Indicators,12,Political Equality,0,,1,Power distributed by socioeconomic position,v2pepwrses,3.12,3.12.
3.12.0.2,3,V-Dem Indicators,12,Political Equality,0,,2,Power distributed by social group,v2pepwrsoc,3.12,3.12.
3.12.0.3,3,V-Dem Indicators,12,Political Equality,0,,3,Power distributed by gender,v2pepwrgen,3.12,3.12.
3.12.0.4,3,V-Dem Indicators,12,Political Equality,0,,4,Power distributed by sexual orientation,v2pepwrort,3.12,3.12.
3.12.0.5,3,V-Dem Indicators,12,Political Equality,0,,5,Educational equality,v2peedueq,3.12,3.12.
3.12.0.6,3,V-Dem Indicators,12,Political Equality,0,,6,Health equality,v2pehealth,3.12,3.12.
3.12.0.7,3,V-Dem Indicators,12,Political Equality,0,,7,Primary school enrolment,v2peprisch,3.12,3.12.
3.12.0.8,3,V-Dem Indicators,12,Political Equality,0,,8,Secondary school enrolment,v2pesecsch,3.12,3.12.
3.12.0.9,3,V-Dem Indicators,12,Political Equality,0,,9,Tertiary school enrolment,v2petersch,3.12,3.12.
3.13,3,V-Dem Indicators,13,Exclusion,,,,Exclusion,,3.13,
3.13.1,3,V-Dem Indicators,13,Exclusion,1,,,Exclusion by Socio-Economic Group,,3.13,3.13.
3.13.1.1,3,V-Dem Indicators,13,Exclusion,1,,1,Access to public services distributed by socio-economic position,v2peapsecon,3.13,3.13.
3.13.1.2,3,V-Dem Indicators,13,Exclusion,1,,2,Access to state jobs by socio-economic position,v2peasjsoecon,3.13,3.13.
3.13.1.3,3,V-Dem Indicators,13,Exclusion,1,,3,Access to state business opportunities by socio-economic position,v2peasbecon,3.13,3.13.
3.13.2,3,V-Dem Indicators,13,Exclusion,2,,,Exclusion by Gender,,3.13,3.13.
3.13.2.1,3,V-Dem Indicators,13,Exclusion,2,,1,Gender equality in respect for civil liberties,v2clgencl,3.13,3.13.
3.13.2.2,3,V-Dem Indicators,13,Exclusion,2,,2,Access to public services distributed by gender,v2peapsgen,3.13,3.13.
3.13.2.3,3,V-Dem Indicators,13,Exclusion,2,,3,Access to state jobs by gender,v2peasjgen,3.13,3.13.
3.13.2.4,3,V-Dem Indicators,13,Exclusion,2,,4,Access to state business opportunities by gender,v2peasbgen,3.13,3.13.
3.13.3,3,V-Dem Indicators,13,Exclusion,3,,,Exclusion by Urban-Rural Location,,3.13,3.13.
3.13.3.1,3,V-Dem Indicators,13,Exclusion,3,,1,Power distributed by urban-rural location,v2pepwrgeo,3.13,3.13.
3.13.3.2,3,V-Dem Indicators,13,Exclusion,3,,2,Urban-rural location equality in respect for civil liberties,v2clgeocl,3.13,3.13.
3.13.3.3,3,V-Dem Indicators,13,Exclusion,3,,3,Access to public services distributed by urban-rural location,v2peapsgeo,3.13,3.13.
